Attendance,MSE,HRS,ESE
70,10,17,42
92,7,20,39
67,3,18,32
82,16,13,50
80,9,10,44
72,11,16,55
85,7,18,43
75,10,14,37
80,8,14,43
70,8,14,41
85,8,16,48
65,12,17,61
70,4,17,44
75,7,19,45
80,15,20,58
85,12,19,52
75,6,15,45
68,9,22,46
65,10,19,46
95,7,20,40
90,13,12,57
78,5,8,42
78,8,2,35
80,12,2,52
85,17,20,64
95,11,12,47
78,10,5,42
79,16,20,52
65,17,14,55
98,12,11,50
98,11,9,53
68,13,14,50
88,11,14,51
75,10,11,49
88,7,3,39
88,6,4,39
88,9,7,49
90,9,13,52
75,12,13,49
98,11,20,45
95,6,5,36
98,7,4,35
78,14,8,50
95,12,6,43
75,10,5,49
77,14,5,57
85,5,8,38
70,6,9,41
95,11,20,46
95,9,8,50
75,9,7,51
90,8,8,38
90,9,20,49
96,6,12,44
94,10,13,41
80,17,18,57
75,11,6,45
78,11,20,49
82,10,21,49
80,8,7,50
80,7,12,44
92,7,15,40
85,10,14,50
68,11,9,43
88,7,5,36
80,12,18,50
62,8,16,42
82,10,20,51
80,10,19,47
78,8,18,40
92,9,8,49
78,11,6,53
78,12,20,58
